144,Multibeam Echosounder - EM122,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,multi-beam echosounders,http://vocab.nerc.ac.uk/collection/L05/current/157,Sea-floor depth below surface of the water body,http://vocab.aodn.org.au/def/discovery_parameter/entity/574,Metres,http://vocab.nerc.ac.uk/collection/P06/current/ULAA
144,Multibeam Echosounder - EM122,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,multi-beam echosounders,http://vocab.nerc.ac.uk/collection/L05/current/157,Sea-floor surface hardness,N/A,geologic unit,http://resource.geosciml.org/classifier/cgi/geologicunittype/geologic_unit
144,Multibeam Echosounder - EM122,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,multi-beam echosounders,http://vocab.nerc.ac.uk/collection/L05/current/157,Density of the water body,http://vocab.aodn.org.au/def/discovery_parameter/entity/401,Kilograms per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UKMC
148,Fisheries Echosounder - SH90,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Abundance of biota,http://vocab.aodn.org.au/def/discovery_parameter/entity/488,Number per cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/UPMM
148,Fisheries Echosounder - SH90,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Biovolume,http://vocab.aodn.org.au/def/discovery_parameter/entity/22,Litres,http://vocab.nerc.ac.uk/collection/P06/current/ULIT
139,LADCP (Lowered Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,lowered current profilers,http://vocab.nerc.ac.uk/collection/L05/current/116/,Current direction in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01,Degrees True,http://vocab.nerc.ac.uk/collection/P06/current/UABB
139,LADCP (Lowered Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,lowered current profilers,http://vocab.nerc.ac.uk/collection/L05/current/116/,Current speed in the water body,http://vocab.aodn.org.au/def/discovery_parameter/entity/383,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA
139,LADCP (Lowered Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,lowered current profilers,http://vocab.nerc.ac.uk/collection/L05/current/116/,Eastward current velocity in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA
139,LADCP (Lowered Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,lowered current profilers,http://vocab.nerc.ac.uk/collection/L05/current/116/,Northward current velocity in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCNSZZ01,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA
139,LADCP (Lowered Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,lowered current profilers,http://vocab.nerc.ac.uk/collection/L05/current/116/,Upward current velocity in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LRZAZZZZ,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA
33,CTDs (Conductivity-Temperature-Depth Profilers),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,CTD,http://vocab.nerc.ac.uk/collection/L05/current/130,Practical salinity of the water body,http://vocab.nerc.ac.uk/collection/P01/current/PSLTZZ01,Practical Salinity Unit,http://vocab.aodn.org.au/def/unitsofmeasure/entity/481
33,CTDs (Conductivity-Temperature-Depth Profilers),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,CTD,http://vocab.nerc.ac.uk/collection/L05/current/130,Temperature of the water body,http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01,Degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA
33,CTDs (Conductivity-Temperature-Depth Profilers),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,CTD,http://vocab.nerc.ac.uk/collection/L05/current/130,Pressure (measured variable) in the water body exerted by overlying sea water and any medium above it,http://vocab.aodn.org.au/def/discovery_parameter/entity/565,Decibars,http://vocab.nerc.ac.uk/collection/P06/current/UPDB
33,CTDs (Conductivity-Temperature-Depth Profilers),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,CTD,http://vocab.nerc.ac.uk/collection/L05/current/130,Pressure (measured variable) in the water body exerted by overlying sea water only,http://vocab.aodn.org.au/def/discovery_parameter/entity/566,Decibars,http://vocab.nerc.ac.uk/collection/P06/current/UPDB
21,XBTs (Expendable Bathythermographs),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,bathythermographs,http://vocab.nerc.ac.uk/collection/L05/current/132,Temperature of the water body,http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01,Degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA
174,Undulating CTD - Triaxus,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,CTD,http://vocab.nerc.ac.uk/collection/L05/current/130,Practical salinity of the water body,http://vocab.nerc.ac.uk/collection/P01/current/PSLTZZ01,Practical Salinity Unit,http://vocab.aodn.org.au/def/unitsofmeasure/entity/481
174,Undulating CTD - Triaxus,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,CTD,http://vocab.nerc.ac.uk/collection/L05/current/130,Temperature of the water body,http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01,Degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA
174,Undulating CTD - Triaxus,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,CTD,http://vocab.nerc.ac.uk/collection/L05/current/130,Pressure (measured variable) in the water body exerted by overlying sea water and any medium above it,http://vocab.aodn.org.au/def/discovery_parameter/entity/565,Decibars,http://vocab.nerc.ac.uk/collection/P06/current/UPDB
174,Undulating CTD - Triaxus,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,CTD,http://vocab.nerc.ac.uk/collection/L05/current/130,Pressure (measured variable) in the water body exerted by overlying sea water only,http://vocab.aodn.org.au/def/discovery_parameter/entity/566,Decibars,http://vocab.nerc.ac.uk/collection/P06/current/UPDB
164,Sub-bottom Profiler - SBP120,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,2000 Hz top-bandwidth sub-bottom penetrator and mud profiler systems,http://vocab.nerc.ac.uk/collection/L05/current/367/,Sub-bottom structure,N/A,geologic unit,http://resource.geosciml.org/classifier/cgi/geologicunittype/geologic_unit
101,Thermosalinographs,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,thermosalinographs,http://vocab.nerc.ac.uk/collection/L05/current/133,Practical salinity of the water body,http://vocab.nerc.ac.uk/collection/P01/current/PSLTZZ01,Practical Salinity Unit,http://vocab.aodn.org.au/def/unitsofmeasure/entity/481
101,Thermosalinographs,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,thermosalinographs,http://vocab.nerc.ac.uk/collection/L05/current/133,Temperature of the water body,http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01,Degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA
168,Gravity meters,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,gravimeters,http://vocab.nerc.ac.uk/collection/L05/current/158/,Gravity,http://vocab.ndg.nerc.ac.uk/term/P011/667/GRAVFLDX,MicroGals per metre,http://vocab.nerc.ac.uk/collection/P06/current/UGPM/
141,Fisheries echosounder EK60,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Abundance of biota,http://vocab.aodn.org.au/def/discovery_parameter/entity/488,Number per cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/UPMM
141,Fisheries echosounder EK60,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Biovolume,http://vocab.aodn.org.au/def/discovery_parameter/entity/22,Litres,http://vocab.nerc.ac.uk/collection/P06/current/ULIT
141,Fisheries echosounder EK60,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Sea-floor depth below surface of the water body,http://vocab.aodn.org.au/def/discovery_parameter/entity/574,Metres,http://vocab.nerc.ac.uk/collection/P06/current/ULAA
146,Multibeam Fisheries Echosounder - ME70,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Abundance of biota,http://vocab.aodn.org.au/def/discovery_parameter/entity/488,Number per cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/UPMM
146,Multibeam Fisheries Echosounder - ME70,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Biovolume,http://vocab.aodn.org.au/def/discovery_parameter/entity/22,Litres,http://vocab.nerc.ac.uk/collection/P06/current/ULIT
2,ADCP (Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,current profilers,http://vocab.nerc.ac.uk/collection/L05/current/115,Current direction in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01,Degrees True,http://vocab.nerc.ac.uk/collection/P06/current/UABB
2,ADCP (Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,current profilers,http://vocab.nerc.ac.uk/collection/L05/current/115,Current speed in the water body,http://vocab.aodn.org.au/def/discovery_parameter/entity/383,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA
2,ADCP (Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,current profilers,http://vocab.nerc.ac.uk/collection/L05/current/115,Eastward current velocity in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA
2,ADCP (Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,current profilers,http://vocab.nerc.ac.uk/collection/L05/current/115,Northward current velocity in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCNSZZ01,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA
2,ADCP (Acoustic Doppler Current Profiler),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,current profilers,http://vocab.nerc.ac.uk/collection/L05/current/115,Upward current velocity in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LRZAZZZZ,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA
142,Multibeam Echosounder - EM710,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,multi-beam echosounders,http://vocab.nerc.ac.uk/collection/L05/current/157,Sea-floor depth below surface of the water body,http://vocab.aodn.org.au/def/discovery_parameter/entity/574,Metres,http://vocab.nerc.ac.uk/collection/P06/current/ULAA
142,Multibeam Echosounder - EM710,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,multi-beam echosounders,http://vocab.nerc.ac.uk/collection/L05/current/157,Sea-floor surface hardness,N/A,geologic unit,http://resource.geosciml.org/classifier/cgi/geologicunittype/geologic_unit
142,Multibeam Echosounder - EM710,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,multi-beam echosounders,http://vocab.nerc.ac.uk/collection/L05/current/157,Density of the water body,http://vocab.aodn.org.au/def/discovery_parameter/entity/401,Kilograms per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UKMC
147,Echosounder - PAOS (Profiling Acoustic and Optical System),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Abundance of biota,http://vocab.aodn.org.au/def/discovery_parameter/entity/488,Number per cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/UPMM
147,Echosounder - PAOS (Profiling Acoustic and Optical System),research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Biovolume,http://vocab.aodn.org.au/def/discovery_parameter/entity/22,Litres,http://vocab.nerc.ac.uk/collection/P06/current/ULIT
Not in OA list yet - 196,Fisheries echosounder - EK80,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Abundance of biota,http://vocab.aodn.org.au/def/discovery_parameter/entity/488,Number per cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/UPMM
Not in OA list yet - 196,Fisheries echosounder - EK80,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Biovolume,http://vocab.aodn.org.au/def/discovery_parameter/entity/22,Litres,http://vocab.nerc.ac.uk/collection/P06/current/ULIT
Not in OA list yet - 197,Multibeam Fisheries echosounder - WBAT,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Abundance of biota,http://vocab.aodn.org.au/def/discovery_parameter/entity/488,Number per cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/UPMM
Not in OA list yet - 197,Multibeam Fisheries echosounder - WBAT,research vessel,IRI: http://vocab.nerc.ac.uk/collection/L06/current/31,Fish-finder echosounders,http://vocab.nerc.ac.uk/collection/L05/current/FFES,Biovolume,http://vocab.aodn.org.au/def/discovery_parameter/entity/22,Litres,http://vocab.nerc.ac.uk/collection/P06/current/ULIT
